## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 5.964278e-02, e_c = 2.777157e+01, C^2 = 6.507842e+00, sigma0/2 = 1.494512e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/27.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 -1.054108e+00 8.752553e-01
0.000000e+00 -1.046092e+00 8.747624e-01
0.000000e+00 -1.038076e+00 8.742510e-01
0.000000e+00 -1.030060e+00 8.737203e-01
0.000000e+00 -1.022044e+00 8.731697e-01
0.000000e+00 -1.014028e+00 8.725983e-01
0.000000e+00 -1.006012e+00 8.720055e-01
0.000000e+00 -9.979960e-01 8.713904e-01
0.000000e+00 -9.899800e-01 8.707522e-01
0.000000e+00 -9.819639e-01 8.700900e-01
0.000000e+00 -9.739479e-01 8.694028e-01
0.000000e+00 -9.659319e-01 8.686898e-01
0.000000e+00 -9.579158e-01 8.679500e-01
0.000000e+00 -9.498998e-01 8.671824e-01
0.000000e+00 -9.418838e-01 8.663860e-01
0.000000e+00 -9.338677e-01 8.655595e-01
0.000000e+00 -9.258517e-01 8.647020e-01
0.000000e+00 -9.178357e-01 8.638123e-01
0.000000e+00 -9.098196e-01 8.628891e-01
0.000000e+00 -9.018036e-01 8.619312e-01
0.000000e+00 -8.937876e-01 8.609372e-01
0.000000e+00 -8.857715e-01 8.599059e-01
0.000000e+00 -8.777555e-01 8.588358e-01
0.000000e+00 -8.697395e-01 8.577254e-01
0.000000e+00 -8.617234e-01 8.565733e-01
0.000000e+00 -8.537074e-01 8.553779e-01
0.000000e+00 -8.456914e-01 8.541375e-01
0.000000e+00 -8.376754e-01 8.528505e-01
0.000000e+00 -8.296593e-01 8.515151e-01
0.000000e+00 -8.216433e-01 8.501295e-01
0.000000e+00 -8.136273e-01 8.486918e-01
0.000000e+00 -8.056112e-01 8.472000e-01
0.000000e+00 -7.975952e-01 8.456521e-01
0.000000e+00 -7.895792e-01 8.440460e-01
0.000000e+00 -7.815631e-01 8.423795e-01
0.000000e+00 -7.735471e-01 8.406503e-01
0.000000e+00 -7.655311e-01 8.388561e-01
0.000000e+00 -7.575150e-01 8.369945e-01
0.000000e+00 -7.494990e-01 8.350628e-01
0.000000e+00 -7.414830e-01 8.330585e-01
0.000000e+00 -7.334669e-01 8.309789e-01
0.000000e+00 -7.254509e-01 8.288210e-01
0.000000e+00 -7.174349e-01 8.265820e-01
0.000000e+00 -7.094188e-01 8.242588e-01
0.000000e+00 -7.014028e-01 8.218482e-01
0.000000e+00 -6.933868e-01 8.193470e-01
0.000000e+00 -6.853707e-01 8.167518e-01
0.000000e+00 -6.773547e-01 8.140589e-01
0.000000e+00 -6.693387e-01 8.112648e-01
0.000000e+00 -6.613226e-01 8.083657e-01
0.000000e+00 -6.533066e-01 8.053575e-01
0.000000e+00 -6.452906e-01 8.022362e-01
0.000000e+00 -6.372745e-01 7.989976e-01
0.000000e+00 -6.292585e-01 7.956371e-01
0.000000e+00 -6.212425e-01 7.921503e-01
0.000000e+00 -6.132265e-01 7.885324e-01
0.000000e+00 -6.052104e-01 7.847785e-01
0.000000e+00 -5.971944e-01 7.808834e-01
0.000000e+00 -5.891784e-01 7.768418e-01
0.000000e+00 -5.811623e-01 7.726483e-01
0.000000e+00 -5.731463e-01 7.682971e-01
0.000000e+00 -5.651303e-01 7.637823e-01
0.000000e+00 -5.571142e-01 7.590978e-01
0.000000e+00 -5.490982e-01 7.542371e-01
0.000000e+00 -5.410822e-01 7.491936e-01
0.000000e+00 -5.330661e-01 7.439605e-01
0.000000e+00 -5.250501e-01 7.385306e-01
0.000000e+00 -5.170341e-01 7.328966e-01
0.000000e+00 -5.090180e-01 7.270508e-01
0.000000e+00 -5.010020e-01 7.209851e-01
0.000000e+00 -4.929860e-01 7.146914e-01
0.000000e+00 -4.849699e-01 7.081611e-01
0.000000e+00 -4.769539e-01 7.013852e-01
0.000000e+00 -4.689379e-01 6.943546e-01
0.000000e+00 -4.609218e-01 6.870596e-01
0.000000e+00 -4.529058e-01 6.794904e-01
0.000000e+00 -4.448898e-01 6.716366e-01
0.000000e+00 -4.368737e-01 6.634875e-01
0.000000e+00 -4.288577e-01 6.550321e-01
0.000000e+00 -4.208417e-01 6.462588e-01
0.000000e+00 -4.128257e-01 6.371556e-01
0.000000e+00 -4.048096e-01 6.277102e-01
0.000000e+00 -3.967936e-01 6.179098e-01
0.000000e+00 -3.887776e-01 6.077409e-01
0.000000e+00 -3.807615e-01 5.971897e-01
0.000000e+00 -3.727455e-01 5.862419e-01
0.000000e+00 -3.647295e-01 5.748826e-01
0.000000e+00 -3.567134e-01 5.630963e-01
0.000000e+00 -3.486974e-01 5.508669e-01
0.000000e+00 -3.406814e-01 5.381778e-01
0.000000e+00 -3.326653e-01 5.250118e-01
0.000000e+00 -3.246493e-01 5.113509e-01
0.000000e+00 -3.166333e-01 4.971766e-01
0.000000e+00 -3.086172e-01 4.824695e-01
0.000000e+00 -3.006012e-01 4.672097e-01
0.000000e+00 -2.925852e-01 4.513763e-01
0.000000e+00 -2.845691e-01 4.349480e-01
0.000000e+00 -2.765531e-01 4.179022e-01
0.000000e+00 -2.685371e-01 4.002160e-01
0.000000e+00 -2.605210e-01 3.818651e-01
0.000000e+00 -2.525050e-01 3.628247e-01
0.000000e+00 -2.444890e-01 3.430689e-01
0.000000e+00 -2.364729e-01 3.225709e-01
0.000000e+00 -2.284569e-01 3.013028e-01
0.000000e+00 -2.204409e-01 2.792357e-01
0.000000e+00 -2.124248e-01 2.563398e-01
0.000000e+00 -2.044088e-01 2.325838e-01
0.000000e+00 -1.963928e-01 2.079357e-01
0.000000e+00 -1.883768e-01 1.823619e-01
0.000000e+00 -1.803607e-01 1.558278e-01
0.000000e+00 -1.723447e-01 1.282975e-01
0.000000e+00 -1.643287e-01 9.973375e-02
0.000000e+00 -1.563126e-01 7.009778e-02
0.000000e+00 -1.482966e-01 3.934958e-02
0.000000e+00 -1.402806e-01 7.447578e-03
0.000000e+00 -1.322645e-01 -2.565128e-02
0.000000e+00 -1.242485e-01 -5.999166e-02
0.000000e+00 -1.162325e-01 -9.561981e-02
0.000000e+00 -1.082164e-01 -1.325837e-01
0.000000e+00 -1.002004e-01 -1.709330e-01
0.000000e+00 -9.218437e-02 -2.107192e-01
0.000000e+00 -8.416834e-02 -2.519955e-01
0.000000e+00 -7.615230e-02 -2.948171e-01
0.000000e+00 -6.813627e-02 -3.392412e-01
0.000000e+00 -6.012024e-02 -3.853267e-01
0.000000e+00 -5.210421e-02 -4.331349e-01
0.000000e+00 -4.408818e-02 -4.827286e-01
0.000000e+00 -3.607214e-02 -5.341733e-01
0.000000e+00 -2.805611e-02 -5.875360e-01
0.000000e+00 -2.004008e-02 -6.428862e-01
0.000000e+00 -1.202405e-02 -7.002952e-01
0.000000e+00 -4.008016e-03 -7.598363e-01
0.000000e+00 4.008016e-03 -8.215849e-01
0.000000e+00 1.202405e-02 -8.856178e-01
0.000000e+00 2.004008e-02 -9.520136e-01
0.000000e+00 2.805611e-02 -1.020852e+00
0.000000e+00 3.607214e-02 -1.092214e+00
0.000000e+00 4.408818e-02 -1.166181e+00
0.000000e+00 5.210421e-02 -1.242833e+00
0.000000e+00 6.012024e-02 -1.322249e+00
0.000000e+00 6.813627e-02 -1.404506e+00
0.000000e+00 7.615230e-02 -1.489676e+00
0.000000e+00 8.416834e-02 -1.577824e+00
0.000000e+00 9.218437e-02 -1.669005e+00
0.000000e+00 1.002004e-01 -1.763259e+00
0.000000e+00 1.082164e-01 -1.860607e+00
0.000000e+00 1.162325e-01 -1.961041e+00
0.000000e+00 1.242485e-01 -2.064515e+00
0.000000e+00 1.322645e-01 -2.170931e+00
0.000000e+00 1.402806e-01 -2.280123e+00
0.000000e+00 1.482966e-01 -2.391831e+00
0.000000e+00 1.563126e-01 -2.505675e+00
0.000000e+00 1.643287e-01 -2.621123e+00
0.000000e+00 1.723447e-01 -2.737452e+00
0.000000e+00 1.803607e-01 -2.853716e+00
0.000000e+00 1.883768e-01 -2.968725e+00
0.000000e+00 1.963928e-01 -3.081052e+00
0.000000e+00 2.044088e-01 -3.189089e+00
0.000000e+00 2.124248e-01 -3.291170e+00
0.000000e+00 2.204409e-01 -3.385761e+00
0.000000e+00 2.284569e-01 -3.471678e+00
0.000000e+00 2.364729e-01 -3.548286e+00
0.000000e+00 2.444890e-01 -3.615593e+00
